image,image2,image3,image4,label
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00020-000-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00020-000-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00020-000-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00020-000-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00020-000-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00020-001-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00020-001-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00020-001-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00020-001-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00020-001-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00022-001-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00022-001-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00022-001-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00022-001-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00022-001-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00024-000-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00024-000-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00024-000-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00024-000-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00024-000-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00024-001-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00024-001-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00024-001-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00024-001-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00024-001-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00025-000-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00025-000-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00025-000-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00025-000-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00025-000-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00030-000-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00030-000-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00030-000-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00030-000-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00030-000-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00031-000-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00031-000-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00031-000-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00031-000-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00031-000-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00031-001-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00031-001-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00031-001-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00031-001-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00031-001-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00032-000-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00032-000-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00032-000-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00032-000-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00032-000-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00032-001-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00032-001-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00032-001-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00032-001-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00032-001-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00033-000-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00033-000-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00033-000-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00033-000-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00033-000-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00035-000-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00035-000-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00035-000-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00035-000-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00035-000-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00036-000-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00036-000-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00036-000-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00036-000-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00036-000-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00036-001-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00036-001-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00036-001-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00036-001-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00036-001-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00043-000-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00043-000-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00043-000-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00043-000-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00043-000-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00044-000-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00044-000-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00044-000-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00044-000-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00044-000-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00045-001-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00045-001-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00045-001-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00045-001-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00045-001-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00048-000-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00048-000-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00048-000-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00048-000-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00048-000-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00052-000-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00052-000-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00052-000-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00052-000-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00052-000-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00053-000-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00053-000-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00053-000-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00053-000-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00053-000-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00053-001-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00053-001-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00053-001-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00053-001-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00053-001-seg.nii.gz
/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00054-000-t1c.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00054-000-t1n.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00054-000-t2f.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00054-000-t2w.nii.gz,/mnt/data1/ZhouFF/TTA4MIS/data/BraTS2023/BraTS_GLI/preprocessed_data/BraTS-GLI-00054-000-seg.nii.gz
